symbol
BTC-USD
ETH-USD
USDT-USD
XRP-USD
BNB-USD
SOL-USD
USDC-USD
TRX-USD
STETH-USD
WTRX-USD
DOGE-USD
ADA-USD
WSTETH-USD
WBTC-USD
BCH-USD
WBETH-USD
WETH-USD
LINK-USD
AETHWETH-USD
LEO-USD
XLM-USD
WEETH-USD
XMR-USD
ZEC-USD
LTC-USD
HBAR-USD
AVAX-USD
AETHUSDT-USD
BTCB-USD
DAI-USD
SHIB-USD
CRO-USD
SUSDE-USD
PYUSD-USD
DOT-USD
AAVE-USD
BGB-USD
NEAR-USD
OKB-USD
ETC-USD
ICP-USD
BFUSD-USD
ENA-USD
JITOSOL-USD
JLP-USD
ONDO-USD
XAUT-USD
KAS-USD
SYRUPUSDC-USD
WLD-USD
PAXG-USD
WBNB-USD
KCS-USD
RETH-USD
QNT-USD
ALGO-USD
FLR-USD
WFLR-USD
BNSOL-USD
FIL-USD
ATOM-USD
VET-USD
SLISBNB-USD
FBTC-USD
RSETH-USD
RLUSD-USD
LSETH-USD
SOLVBTC-USD
XDC-USD
SLISBNBX-USD
RENDER-USD
FDUSD-USD
SEI-USD
GT-USD
WTFUEL-USD
CAKE-USD
IP-USD
BONK-USD
USDCE-USD
EZETH-USD
VBTC-USD
DASH-USD
JUPSOL-USD
NEXO-USD
OP-USD
VIRTUAL-USD
OSETH-USD
BDX-USD
CRV-USD
FET-USD
INJ-USD
LDO-USD
TIA-USD
MSOL-USD
SYRUPUSDT-USD
VBNB-USD
AB-USD
WTHETA-USD
XTZ-USD
USDD-USD
WXTZ-USD
TEL-USD
USDAI-USD
ETHFI-USD
TUSD-USD
KAIA-USD
STKAAVE-USD
IOTA-USD
FLOKI-USD
ETHX-USD
ENS-USD
PENDLE-USD
TWT-USD
PYTH-USD
BSV-USD
GHO-USD
CFX-USD
ZBU-USD
JST-USD
BTT-USD
DCR-USD
BAT-USD
WZEDX-USD
SAND-USD
HNT-USD
SUN-USD
CBETH-USD
XPL-USD
WIF-USD
FLOW-USD
EETH-USD
MERL-USD
GALA-USD
SAVAX-USD
JASMY-USD
FTN-USD
GNO-USD
THETA-USD
EURC-USD
DEXE-USD
FARTCOIN-USD
MANA-USD
BORG-USD
CHZ-USD
NEO-USD
SYRUP-USD
SFRXETH-USD
RAY-USD
BETH-USD
CMETH-USD
EIGEN-USD
ZBCN-USD
WCHZ-USD
FRAX-USD
ASBNB-USD
H-USD
AR-USD
UNIBTC-USD
CRVUSD-USD
WAVAX-USD
VUSDT-USD
GLM-USD
INF-USD
TRAC-USD
RBTC-USD
XEC-USD
FLUID-USD
WFTM-USD
WEMIX-USD
RUNE-USD
BBSOL-USD
W-USD
UDS-USD
PUMPBTC-USD
MX-USD
KMNO-USD
EGLD-USD
RSR-USD
FTT-USD
ZANO-USD
DYDX-USD
JTO-USD
LPT-USD
KITE-USD
AMP-USD
SNX-USD
AXS-USD
ALE-USD
ULTIMA-USD
XSOLVBTC-USD
ZEN-USD
CVX-USD
JSOL-USD
CCD-USD
WFI-USD
KAITO-USD
QTUM-USD
SFP-USD
LGCT-USD
PROM-USD
KOGE-USD
BMX-USD
BSOL-USD
B-USD
LINEA-USD
CTC-USD
AIOZ-USD
KSM-USD
LUNC-USD
SOSO-USD
TFUEL-USD
KTA-USD
GAS-USD
TURBO-USD
PIPPIN-USD
AKT-USD
WPLS-USD
YFI-USD
ALCH-USD
KAVA-USD
SHFL-USD
MINA-USD
RVN-USD
ZRX-USD
UPC-USD
MOG-USD
T-USD
GOMINING-USD
FLZ-USD
BABYDOGE-USD
CKB-USD
BERA-USD
VELO-USD
DGB-USD
HSK-USD
CDCETH-USD
FOLKS-USD
XNO-USD
AWE-USD
ALEO-USD
EBTC-USD
EDGESOL-USD
FRXUSD-USD
ZIL-USD
XPR-USD
XVG-USD
ASTR-USD
